,ID,StringText
0,Section1Sent1,"""And it came to pass when there began to be many men upon the earth, that daughters also were born to them."""
1,Section1Sent2,"I think it here worth while to raise the question why, after the birth of Noah and his sons, our race increased to a degree of great populousness."
2,Section1Sent3,"But, perhaps, it is not difficult to explain the cause of this; for it always happens if anything appears to be rare that its contrary is found exceedingly numerous."
3,Section2Sent1,"Therefore, the good disposition of one displays the evil disposition of myriads, and the fact of those things which are done in accordance with art, and science, and virtue, and beauty, being few, shows how incalculable a number of things devoid of art, and of science, and of justice, and, in short, utterly worthless, lie concealed beneath."
4,Section3Sent1,"Do you not see that in the universe, also, the sun, being one body, by his shining forth dissipates the thick and dense darkness which is shed over earth and sea?"
5,Section3Sent2,"With great propriety, therefore, the generation of the just Noah and his sons is represented as bringing into existence a great number of unjust persons; for it is by the contrary that it is especially the nature of contraries to be known."
6,Section4Sent1,"And no unjust man at any time implants a masculine generation in the soul, but such, being unmanly, and broken, and effeminate in their minds, do naturally become the parents of female children; having planted no tree of virtue, the fruit of which must of necessity have been beautiful and salutary, but only trees of wickedness and of the passions, the shoots of which are womanlike."
7,Section5Sent1,"On account of which fact these men are said to have become the fathers of daughters, and that no one of them is said to and sedition, if we must speak the truth, is the archetypal model"
8,Section5Sent2,"have begotten a son; for since the just Noah had male children, as being a man who followed reason, perfect, and upright, and masculine, so by this very fact the injustice of the multitude is proved to be altogether the parent of female children."
9,Section5Sent3,For it is impossible that the same things should be born of opposite parents; but they must necessarily have an opposite offspring.
10,Section6Sent1,"""And when the angels of God saw the daughters of men that they were beautiful, they took unto themselves wives of all of them whom they chose."""
11,Section6Sent2,"Those beings, whom other philosophers call demons, Moses usually calls angels; and they are souls hovering in the air."
12,Section7Sent1,"And let no one suppose, that what is here stated is a fable, for it is necessarily true that the universe must be filled with living things in all its parts, since every one of its primary and elementary portions contains its appropriate animals and such as are consistent with its nature; —the earth containing terrestrial animals, the sea and the rivers containing aquatic animals, and the fire such as are born in the fire (but it is said, that such as these last are found chiefly in Macedonia), and the heaven containing the stars:"
13,Section8Sent1,"for these also are entire souls pervading the universe, being unadulterated and divine, inasmuch as they move in a circle, which is the kind of motion most akin to the mind, for every one of them is the parent mind."
14,Section8Sent2,It is therefore necessary that the air also should be full of living beings.
15,Section8Sent3,"And these beings are invisible to us, inasmuch as the air itself is not visible to mortal sight."
16,Section9Sent1,"But it does not follow, because our sight is incapable of perceiving the forms of souls, that for that reason there are no souls in the air; but it follows of necessity that they must be comprehended by the mind, in order that like may be contemplated by like."
17,Section10Sent1,Since what shall we say?
18,Section10Sent2,Must we not say that these animals which are terrestrial or aquatic live in air and spirit?
19,Section10Sent3,What?
20,Section10Sent4,"Are not pestilential afflictions accustomed to exist when the air is tainted or corrupted, as if that were the cause of all such assuming vitality?"
21,Section10Sent5,"Again, when the air is free from all taint and innocent, such as it is especially wont to be when the north wind prevails, does not the imbibing of a purer air tend to a more vigorous and more lasting duration of life?"
22,Section11Sent1,"It is then natural that that medium by which all other animals, whether"
23,Section11Sent2,"aquatic or terrestrial, are vivified should itself be empty and destitute of souls?"
24,Section11Sent3,"On the contrary, even if all other animals were barren, the air by itself would be bound to be productive of life, having received from the great Creator the seeds of vitality by his especial favour."
25,Section12Sent1,"Some souls, therefore, have descended into bodies, and others have not thought worthy to approach any one of the portions of the earth; and these, when hallowed and surrounded by the ministrations of the father, the Creator has been accustomed to employ, as hand-maidens and servants in the administration of mortal affairs."
26,Section13Sent1,"And they having descended into the body as into a river, at one time are carried away and swallowed up by the voracity of a most violent whirlpool; and, at another time, striving with all their power to resist its impetuosity, they at first swim on the top of it, and afterwards fly back to the place from which they started."
27,Section14Sent1,"These, then, are the souls of those who have been taught some kind of sublime philosophy, meditating, from beginning to end, on dying as to the life of the body, in order to obtain an inheritance of the incorporeal and imperishable life, which is to be enjoyed in the presence of the uncreate and everlasting God."
28,Section15Sent1,"But those, which are swallowed up in the whirlpool, are the souls of those other men who have disregarded wisdom, giving themselves up to the pursuit of unstable things regulated by fortune alone, not one of which is referred to the most excellent portion of us, the soul or the mind; but all rather to the dead corpse connected with us, that is to the body, or to things which are even more lifeless than that, such as glory, and money, and offices, and honours, and all other things which, by those who do not keep their eyes fixed on what is really beautiful, are fashioned and endowed with apparent vitality by the deceit of vain opinion."
29,Section16Sent1,"If, therefore, you consider that souls, and demons, and angels are things differing indeed in name, but one and identical in reality, you will then be able to discard that most heavy burden, superstition."
30,Section16Sent2,"But as men in general speak of good and evil demons, and in like manner of good and evil souls, so also do they speak of angels, looking upon some as worthy of a good appellation, and calling them ambassadors of man to God, and of God to man, and sacred and holy on account of this blameless and most excellent office; others,"
31,Section16Sent3,"again, you will not err if you look upon as unholy and unworthy of any address."
32,Section17Sent1,"And the expression used by the writer of the psalms, in the following verse, testifies to the truth of my assertion, for he says, ""He sent upon them the fury of His wrath, anger, and rage, and affliction, and he sent evil angels among them."""
33,Section17Sent2,"These are the wicked who, assuming the name of angels, not being acquainted with the daughters of right reason, that is with the sciences and the virtues, but which pursue the mortal descendants of mortal men, that is the pleasures, which can confer no genuine beauty, which is perceived by the intellect alone, but only a bastard sort of elegance of form, by means of which the outward sense is beguiled;"
34,Section18Sent1,"and they do not all take all the daughters in marriage, but some of them have selected some of that innumerable company to be their wives; some choosing them by the sight, and others by the ear, others again being influenced by the sense of taste, or by the belly, and some even by the pleasures below the belly; many also have laid hold of those the abode of which is fixed at a great distance, putting in action various desires among one another."
35,Section18Sent2,"For, of necessity, the choices of all the various pleasures are various, since different pleasures are established in different places."
36,Section19Sent1,"And, in all such matters, it is impossible for the spirit of God to remain and to pass all its time, as the law-giver himself shows."
37,Section19Sent2,"""For,"" says Moses, ""the Lord said, My spirit shall not remain among men for ever, because they are flesh."""
38,Section20Sent1,"For, at times, it does remain; but it does not remain for ever and ever among the greater part of us; for who is so destitute of reason or so lifeless as never, either voluntarily or involuntarily, to conceive a notion of the all good God."
39,Section20Sent2,"For, very often, even over the most polluted and accursed beings, there hovers a sudden appearance of the good, but they are unable to take firm hold of it and to keep it among them;"
40,Section21Sent1,"for, almost immediately, it quits its former place and departs, rejecting those inhabitants who come over to it, and who live in defiance of law and justice, to whom it never would have come if it had not been for the sake of convicting those who choose what is disgraceful instead of what is good."
41,Section22Sent1,"But the spirit of God is spoken of in one manner as being air flowing upon the earth, bringing a third element in addition"
42,Section22Sent2,to water.
43,Section22Sent3,"In reference to which, Moses says, in his account of the creation of the world, ""The spirit of God moved upon the face of the waters."""
44,Section22Sent4,"Since the air, as it is very light, is raised and borne aloft, having water, as it were, for its foundation; and, in another manner, unalloyed knowledge is said to be so, which every wise man naturally partakes of."
45,Section23Sent1,"And Moses shows us this, when speaking of the creator and maker of the holy work of the creation, in these words: ""And God summoned Bezaleel, and filled him with his Holy Spirit, and with wisdom, and understanding, and knowledge, to be able to devise every work."""
46,Section23Sent2,"So that, what the spirit of God is, is very definitively described in these words."
47,Section24Sent1,"Such also is the spirit of Moses, which came upon the seventy elders, for the sake of making them differ from, and be superior to the rest of the Israelites, who could not possibly be elders in real truth, unless they had partaken of that allwise spirit."
