,ID,StringText
0,Section1Sent1,„Καὶ εἶπε κύριος τῷ Ἀβραάμ·
1,Section1Sent2,"ἄπελθε ἐκ τῆς γῆς σου καὶ 
ἐκ τῆς συγγενείας σου καὶ ἐκ τοῦ οἴκου τοῦ πατρός σου εἰς τὴν γῆν,"
2,Section1Sent3,"ἥν σοι δείξω· καὶ ποιήσω σε εἰς ἔθνος μέγα καὶ εὐλογήσω σε καὶ μεγαλυνῶ
τὸ ὄνομά σου, καὶ ἔσῃ εὐλογητός. καὶ εὐλογήσω τοὺς εὐλογοῦντάς
σε, καὶ τοὺς καταρωμένους σε καταράσομαι, καὶ ἐνευλογηθήσονται ἐν 
 σοὶ πᾶσαι αἱ φυλαὶ τῆς γῆς“"
3,Section1Sent4,"(Gen. 12, 1 — 3)."
4,Section2Sent1,"βουληθεὶς ὁ θεὸς τὴν
ἀνθρώπου ψυχὴν καθῆραι πρῶτον αὐτῇ δίδωσιν ἀφορμὴν εἰς σωτηρίαν
παντελῆ τὴν ἐκ τριῶν χωρίων μετανάστασιν, σώματος, αἰσθήσεως, λόγου
τοῦ κατὰ προφοράν·"
5,Section2Sent2,"τὴν μὲν γὰρ γῆν σώματος, τὴν δὲ συγγένειαν"
6,Section2Sent3,"αἰσθήσεως, τὸν δὲ τοῦ πατρὸς οἶκον λόγου συμβέβηκεν εἶναι σύμβολον."
7,Section3Sent1,διὰ τί; ὅτι τὸ μὲν σῶμα καὶ ἐκ γῆς ἔλαβε τὴν σύστασιν καὶ ἀναλύεται πάλιν εἰς γῆν
8,Section3Sent2,"— μάρτυς δὲ Μωυσῆς, ὅταν φῇ· „γῆ εἶ, καὶ εἰς γῆν ἀπελεύσῃ“ (Gen. 3,19)·"
9,Section3Sent3,"καὶ γὰρ παγῆναί φησιν αὐτὸ χοῦν εἰς ἀνθρωπείαν
 μορφὴν τοῦ θεοῦ διαπλάσαντος,"
10,Section3Sent4,"ἀνάγκη δὲ τὸ λυόμενον εἰς τὰ δεθέντα
λύεσθαι—,"
11,Section3Sent5,"αἴσθησις δὲ συγγενὲς καὶ ἀδελφόν ἐστι διανοίας, ἄλογον λογικῆς,
ἐπειδὴ μιᾶς ἄμφω μέρη ψυχῆς ταῦτα,"
12,Section3Sent6,"πατρὸς δὲ οἶκος ὁ   λόγος, ὅτι
πατὴρ μὲν ἡμῶν ὁ νοῦς σπείρων εἰς ἕκαστον τῶν μερῶν τὰς ἀφ’ ἑαυτοῦ
δυνάμεις καὶ διανέμων εἰς αὐτὰ τὰς ἐνεργείας ἐπιμέλειάν τε καὶ ἐπιτροπὴν
  ἀνημμένος ἁπάντων,"
13,Section3Sent7,"οἶκος δέ, ἐν ᾧ διαιτᾶται, τῆς ἄλλης ὑπεξῃρημένος
οἰκίας ὁ λόγος·"
14,Section3Sent8,"καθάπερ γὰρ ἀνδρὸς ἑστία, καὶ νοῦ λόγος ἐνδιαίτημα."
15,Section4Sent1,"ἑαυτὸν γοῦν καὶ ὅσα ἂν ἐνθυμήματα τέκῃ, ὥσπερ ἐν οἴκῳ τῷ λόγῳ διαθεὶς καὶ διακοσμήσας ἐπιδείκνυται."
16,Section4Sent2,"μὴ θαυμάσῃς δέ,"
17,Section4Sent3,"εἰ νοῦ
τὸν λόγον ἐν ἀνθρώπῳ κέκληκεν οἶκον·"
18,Section4Sent4,"καὶ γὰρ τὸν τῶν ὅλων νοῦν, τὸν
 θεόν, οἶκον ἔχειν φησὶ τὸν ἑαυτοῦ λόγον."
