,lemma,count
9,one,131
75,thing,127
145,soul,67
300,men,65
92,say,65
176,God,65
267,man,57
10,But,55
68,I,47
492,body,42
298,nature,42
240,every,41
105,may,41
389,also,40
60,virtue,40
73,upon,40
32,person,38
17,great,38
111,others,38
303,even,37
26,wine,36
327,father,32
123,good,31
124,truth,31
110,manner,30
127,cause,30
190,different,30
369,mind,30
328,mother,29
131,ignorance,29
498,power,29
249,since,28
1,said,28
88,object,27
276,life,27
339,shall,27
35,time,26
24,law,26
606,reason,25
29,namely,24
653,able,23
20,many,23
14,opinion,23
57,among,22
33,drink,22
259,way,22
99,never,21
503,like,21
396,honour,21
37,contrary,20
727,anything,20
168,must,20
644,wisdom,19
445,still,19
79,kind,19
641,sens,19
652,whole,19
72,look,19
766,think,19
106,see,19
265,first,18
159,eye,18
119,knowledge,18
571,chief,18
519,account,17
120,hand,17
144,passion,17
185,outward,17
308,parent,17
71,Moses,17
39,people,17
165,either,16
132,mean,16
351,Therefore,16
1295,without,16
706,everything,16
1026,name,16
242,folly,15
1207,made,15
21,place,15
642,world,15
126,The,15
694,custom,15
3,drunkenness,15
342,city,15
510,learning,15
488,though,15
686,perfect,15
19,subject,15
151,another,14
332,son,14
476,right,14
305,would,14
477,day,14
329,order,14
336,voice,14
841,light,14
272,evil,13
831,living,13
1041,called,13
49,unmixed,13
463,desire,13
53,sacrifice,13
235,indeed,13
301,animal,13
377,become,13
1051,war,13
18,wise,13
676,come,13
886,according,13
135,instruction,12
637,forth,12
440,Lord,12
44,therefore,12
672,unable,12
115,always,12
268,’,12
164,put,12
245,distance,12
1415,faculty,12
180,two,12
221,natural,12
238,make,11
1603,motion,11
819,else,11
264,beginning,11
299,whether,11
815,ever,11
441,state,11
16,respect,11
1156,seen,11
791,scripture,11
286,destruction,11
627,universe,11
451,Now,11
293,whatever,11
705,appears,11
969,woman,11
856,appear,11
1044,rather,11
646,divine,11
754,human,11
546,accordance,11
1120,mortal,11
181,naturally,10
333,disobedient,10
870,affair,10
439,know,10
1505,camp,10
340,bring,10
1302,altar,10
618,receive,10
202,neither,10
113,complete,10
745,sacred,10
793,go,10
650,younger,10
1198,strength,10
150,opposite,10
697,established,10
771,change,10
393,true,10
596,thought,10
1271,hearing,10
36,give,10
809,thou,10
400,country,9
283,water,9
275,action,9
61,begin,9
209,away,9
543,company,9
1038,material,9
512,important,9
661,gift,9
807,judgment,9
11,let,9
98,number,9
804,god,9
401,call,9
1262,ear,9
178,pleasure,9
1504,sound,9
170,take,9
443,second,9
904,philosophy,9
45,taken,9
452,contribution,9
415,ought,9
309,child,9
1543,accustomed,9
28,produce,9
217,appearance,9
80,insensibility,9
843,sight,9
591,utterly,9
232,brother,9
1117,On,8
1388,air,8
540,king,8
8,present,8
236,prudence,8
255,longer,8
662,perhaps,8
851,nothing,8
257,We,8
