,level_0,lemma,count
37,37,thing,38
74,74,good,35
132,132,man,33
38,38,soul,30
369,369,one,28
31,31,son,25
258,258,child,21
263,263,say,19
295,295,But,19
415,415,God,19
280,280,may,18
262,262,virtue,17
39,39,also,17
235,235,men,16
241,241,elder,16
40,40,body,15
191,191,age,14
4,4,said,13
734,734,motion,12
714,714,Canaan,12
301,301,wise,12
365,365,reference,12
326,326,name,12
299,299,called,11
9,9,upon,11
527,527,first,11
279,279,I,11
87,87,nature,11
19,19,scripture,10
526,526,hated,10
999,999,Shem,10
253,253,call,10
90,90,mind,10
30,30,younger,9
236,236,hand,9
275,275,house,9
205,205,law,8
172,172,worthy,8
230,230,place,8
201,201,see,8
65,65,every,8
104,104,able,8
330,330,Lord,8
684,684,wickedness,8
428,428,even,8
239,239,old,8
281,281,born,8
131,131,honour,8
531,531,shall,7
737,737,tranquillity,7
432,432,think,7
194,194,person,7
171,171,respect,7
180,180,accordance,7
152,152,In,7
77,77,evil,7
533,533,share,7
447,447,alone,7
18,18,sacred,7
736,736,state,7
247,247,time,7
23,23,account,7
649,649,mean,7
27,27,Noah,7
272,272,Abraham,7
237,237,yet,7
525,525,beloved,7
417,417,therefore,6
357,357,beauty,6
198,198,since,6
156,156,free,6
442,442,opinion,6
314,314,bear,6
244,244,year,6
197,197,innovation,6
599,599,order,6
547,547,point,6
801,801,case,6
433,433,nothing,6
732,732,stationary,6
250,250,according,6
668,668,dwell,6
341,341,Therefore,6
716,716,servant,6
679,679,curse,6
189,189,make,6
391,391,external,6
386,386,power,6
398,398,without,6
710,710,Ham,6
73,73,many,6
185,185,Moses,6
698,698,sin,6
320,320,great,6
202,202,ought,6
66,66,part,6
478,478,namely,6
292,292,though,5
874,874,care,5
193,193,disposition,5
184,184,condition,5
524,524,wife,5
126,126,object,5
535,535,must,5
179,179,action,5
274,274,forth,5
270,270,put,5
177,177,memory,5
145,145,life,5
1088,1088,beautiful,5
813,813,praise,5
540,540,right,5
483,483,reason,5
155,155,better,5
228,228,proper,5
647,647,recollection,5
234,234,young,5
378,378,brother,5
284,284,birth,5
446,446,love,5
32,32,done,5
852,852,opportunity,5
344,344,blame,5
328,328,foolish,5
444,444,everything,5
49,49,sens,5
472,472,The,5
20,20,come,5
481,481,kind,5
550,550,offspring,5
323,323,people,5
322,322,whole,5
474,474,appears,5
166,166,forgetfulness,4
231,231,indeed,4
58,58,light,4
