lemma,count
θεός,101
πᾶς,88
λόγος,82
ψυχή,72
λέγω,48
μόνος,47
φημί,46
νόος,43
σῶμα,41
πολύς,38
φύσις,36
μέγας,34
γίγνομαι,34
αἰσθήσης,33
ἀγαθός,30
ἄνθρωπος,29
ἕκαστος,26
ἀρετή,26
ποιέω,25
καλός,25
δύναμις,24
οἶκος,23
πατήρ,23
ὥσπερ,23
θεῖος,22
ὄνομα,21
γένος,20
ὁράω,20
καθός,19
νόμος,19
ἅπας,18
ὅλος,18
βίος,18
αἰσθητός,18
σοφός,18
τρόπος,18
ἐκεῖνος,17
κόσμος,17
δοκέω,16
νοητός,16
Αἴγυπτος,16
δόξα,16
εἶπον,15
ἔχω,15
ἔργον,14
ἕτερος,14
κύριος,13
ἄλογος,13
ἐπιθυμία,13
καλέω,13
θνητός,13
χρησμός,13
ἴδιος,12
οἶδα,12
ἀλήθεια,12
χάρις,12
ἀμείνων,12
τέλειος,12
τόπος,12
φωνή,12
τέλος,12
κακός,12
χράω,11
ἡδονή,11
μᾶλλον,11
ἐπειδάν,11
ἔθος,11
πόνος,11
ἐπιστήμη,11
σοφία,11
πλῆθος,11
ἑβδομήκοντα,11
ἔθνος,10
ἀδελφός,10
λογικός,10
ἀφός,10
ἴσος,10
ἔρχομαι,10
μέρος,10
ἵνα,10
παρύ,10
χώρα,10
υἱός,10
φύω,10
πάθος,10
δύναμαι,10
τέχνη,10
πρότερος,10
ἀκοή,10
ἀμφότερος,10
ἐπός,10
ὁδός,10
Μουσός,9
διανοία,9
φίλος,9
ἔοικα,9
σωματικός,9
πατῶς,9
οὐρανός,9
ἀριθμός,9
πέντε,9
πρῶτος,8
σύμβολος,8
ἀνήρ,8
γνώμη,8
ὀφθαλμός,8
ῥῆμα,8
ἱερός,8
λαός,8
τοσοῦτος,8
ἑρμηνεύς,8
ἐναντίος,8
μέλλω,8
δεῖ,8
εἶδον,8
ἀκούω,8
οὕτως,8
ἐρῶ,8
στόμα,8
μέγεθος,8
ἑκάτερος,8
θυμός,8
λαμβάνω,7
πάλιν,7
ἄμφω,7
μερός,7
σύνολος,7
πρέσβυς,7
ἵστημι,7
ἡγεμών,7
βασιλεύς,7
ἄρχω,7
ἀεί,7
ὅσπερ,7
πράγμα,7
χρή,7
εἶδος,7
παγκάλως,7
διάνοια,7
ἀληθής,7
δόγμα,7
ἄριστος,7
πηγή,7
ἄνευ,7
Ἀβραός,7
μυρίος,7
διανοῖος,7
γυνή,7
ἡμέρα,7
δίδωμι,6
γέγων,6
πρᾶγμα,6
ποιότης,6
ἔμπαλιν,6
κατός,6
μουσικός,6
πῶς,6
σαφής,6
δίκαιος,6
δήπου,6
νῦν,6
ἕνεκα,6
Ἀάρας,6
δέω,6
Χαρράς,6
Χαρρός,6
συγγένεια,5
βούλομαι,5
προφορός,5
συγγενής,5
μέρας,5
ἐπιμέλεια,5
πίπτω,5
αἶσθα,5
γένης,5
τοίνυν,5
ἀθρόος,5
ἄγω,5
πληθύς,5
ἄφθαρτος,5
προφήτης,5
φιλάρετος,5
κενός,5
ἐπαινετός,5
ἄξιος,5
λόγιον,5
πάρειμι,5
θυγάτηρ,5
ὄψις,5
μέσος,5
ὁρατός,5
ἑτέρωθι,5
ὅρασις,5
εἰκότως,5
πάντως,5
ἀθάνατος,5
ὀρθός,5
τοιοῦτος,5
διανός,5
μικρός,5
ἑρμηνής,5
χαίρω,5
χράτος,5
διότι,5
ψυχός,5
γενητός,5
πῦρ,5
ἕπομαι,5
χείρων,5
τιμή,5
Μωύσεος,5
φρόνησις,5
συχές,5
δείκνυμι,4
σωτηρία,4
ἀνάγκη,4
νθύμημα,4
φαντασία,4
ἀσκητής,4
σύμπας,4
θάνατος,4
μηδέποτος,4
σεαυτοῦ,4
ἀπόλαυσις,4
ἄτοπος,4
πλείων,4
ἡγούμενος,4
ὁρατικός,4
Ἰσραός,4
μέχρι,4
τίθημι,4
ὀνομάζοις,4
φιλοπαθής,4
λήθη,4
πού,4
καθαρός,4
τυφλός,4
νομίζω,4
ὑπήκοος,4
φαῦλος,4
παράπαν,4
ἀστεῖος,4
φυτός,4
ἐρρωμένος,4
ἀπολιπείς,4
χράομαι,4
σπουδή,4
δυνάμενος,4
κακία,4
εὑρίσκω,4
Λάβας,4
κλῆρος,4
παρθένος,4
ἑκούσιος,4
τέλεια,4
ἀφανή,4
φώς,4
τροφός,4
γέμων,4
ἄφρων,4
τυγχάνω,4
ὄμμα,4
ἥλιος,4
γιγνώσκω,4
ἀρχή,4
χρόνος,4
ἐλπίς,4
χρηστός,4
αὖθις,4
ἔνιοι,4
μοῖρα,4
θεωρητικός,4
κριτήριος,4
γλώσσα,4
αἰτία,4
ἄγαν,4
χυλός,4
μνήμη,4
ὠφέλεια,4
δηλόω,4
σπάνιον,4
διόπερ,4
ὄχλος,4
τοὐναντίος,4
ἐχθρός,4
κοιλία,4
ἀληθή,4
ἕως,4
εὐλογία,4
πλοῦτος,4
χρώμενος,4
δικαιόω,4
θέα,4
πολλάκις,4
φαίνω,4
ἀλήθειος,4
νόσος,4
νόμιμος,4
σύμβολον,4
καιρός,4
τιμάω,4
νοητής,4
ἅγιος,4
ἄθλος,4
καρπός,4
ἴσως,4
συμβέβαξ,4
ἐπίμικτος,4
δασύς,4
πατρικός,4
ἑβδομηκοστός,4
οἰκεῖος,4
ἀβραά,3
ἀπέρχομαι,3
εὐλογήσιοι,3
εὐλογητός,3
κατάρωμενος,3
φυλός,3
συμβαίνω,3
αἴσθησις,3
ἐνδιαίτημος,3
τίκτω,3
ὁμολογής,3
ἀόραρος,3
σεαυτός,3
ἡσυχάζων,3
φέρω,3
περιέχεσθα,3
Λῶτος,3
εἰσάγετα,3
ἄσωμα,3
ἐκτός,3
περιούσιος,3
σπονδή,3
Ἰωσήφη,3
πόλις,3
ὅρκος,3
διακρίνεια,3
μεταποιεῖσθα,3
Ἰωσή,3
κράτος,3
ἥσσων,3
καλοκἀγαθία,3
μήτηρ,3
τάχος,3
φορά,3
σύνοδος,3
τοιόσδε,3
στέφανος,3
δυνηθής,3
σοφίος,3
αὐτοδίδαξ,3
