,Feature,Count,normalized_percent
0,Voice=Act,101,0.04710820895522388
1,Voice=Mid,65,0.03031716417910448
2,Voice=Pass,44,0.020522388059701493
0,Tense=Past,111,0.05177238805970149
1,Tense=Pres,77,0.03591417910447761
2,Tense=Fut,19,0.008861940298507462
3,Tense=Pqp,3,0.0013992537313432835
0,VerbForm=Fin,104,0.048507462686567165
1,VerbForm=Part,96,0.04477611940298507
2,VerbForm=Inf,8,0.0037313432835820895
3,VerbForm=Gdv,2,0.0009328358208955224
0,Case=Nom,91,0.042444029850746266
1,Case=Acc,88,0.041044776119402986
2,Case=Dat,74,0.03451492537313433
3,Case=Gen,73,0.03404850746268657
4,Case=Voc,6,0.002798507462686567
0,Number=Sing,258,0.12033582089552239
1,Number=Plur,183,0.0853544776119403
0,Degree=Pos,26,0.012126865671641791
1,Degree=Sup,21,0.009794776119402986
2,Degree=Cmp,20,0.009328358208955223
0,Gender=Masc,129,0.060167910447761194
1,Gender=Fem,101,0.04710820895522388
2,Gender=Neut,87,0.04057835820895522
3,"Gender=Fem,Masc",8,0.0037313432835820895
4,"Gender=Masc,Neut",7,0.0032649253731343282
0,PronType=Prs,56,0.026119402985074626
1,PronType=Dem,28,0.013059701492537313
2,PronType=Rel,24,0.011194029850746268
3,PronType=Int,12,0.005597014925373134
4,PronType=Rcp,2,0.0009328358208955224
0,Reflex=Yes,15,0.006996268656716418
0,Mood=Ind,55,0.025652985074626867
1,Mood=Sub,18,0.008395522388059701
2,Mood=Imp,16,0.007462686567164179
3,Mood=Opt,11,0.005130597014925373
0,Aspect=Perf,98,0.0457089552238806
1,Aspect=Imp,7,0.0032649253731343282
