,Unnamed: 0,p_value,Text1,Text2,TextGrouping
1,400,0.0366,On the Life of Moses,On the Special Laws,3
4,403,0.0153,On the Life of Moses,Every Good Man is Free,2
6,405,0.0006,On the Life of Moses,On the Eternity of the World,2
9,408,0.0,On the Life of Moses,On the Creation of the World,3
10,409,0.0002,On the Life of Moses,Allegorical Interpretations,4
12,47,0.0091,On the Life of Moses,On the Sacrifices of Cain and Abel,4
13,75,0.0047,On the Life of Moses,The Worse Attacks the Better,4
14,102,0.0014,On the Life of Moses,On the Posterity and Exile of Cain,4
16,153,0.0012,On the Life of Moses,On the Unchangeableness of God,4
19,222,0.0121,On the Life of Moses,On Drunkeness,4
21,263,0.0198,On the Life of Moses,On the Confusion of Tongues,4
23,300,0.0,On the Life of Moses,Who is the Heir?,4
24,317,0.0383,On the Life of Moses,On the Preliminary Studies,4
25,333,0.0043,On the Life of Moses,On Flight and Finding,4
26,348,0.0006,On the Life of Moses,On the Change of Names,4
27,362,0.0063,On the Life of Moses,On Dreams,4
