,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,450,0.0025,On the Contemplative Life,On the Eternity of the World,2
3,453,0.0,On the Contemplative Life,On the Creation of the World,3
4,454,0.0023,On the Contemplative Life,Allegorical Interpretations,4
6,53,0.0402,On the Contemplative Life,On the Sacrifices of Cain and Abel,4
7,81,0.0173,On the Contemplative Life,The Worse Attacks the Better,4
8,108,0.0043,On the Contemplative Life,On the Posterity and Exile of Cain,4
10,159,0.0065,On the Contemplative Life,On the Unchangeableness of God,4
13,228,0.0426,On the Contemplative Life,On Drunkeness,4
17,306,0.0004,On the Contemplative Life,Who is the Heir?,4
19,339,0.0227,On the Contemplative Life,On Flight and Finding,4
20,354,0.0035,On the Contemplative Life,On the Change of Names,4
21,368,0.0331,On the Contemplative Life,On Dreams,4
29,444,0.0448,On the Contemplative Life,Every Good Man is Free,2
